"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:42:36:583 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"359","8","14","250","129","48.94271434063822","0","0"
"358","8","14","250","92","36.06305267204921","0","0"
"328","8","10","250","1500","56.74740484429066","58","0"
"347","8","14","150","638","34.0638216070742","0","0"
"355","8","14","225","443","10.995770857362553","0","0"
"332","8","12","150","1374","29.1041906958862","0","0"
"331","8","12","150","1500","46.78969627066513","19","0"
"368","8","16","200","89","41.94540561322568","0","0"
"361","8","16","150","341","17.685505574778933","0","0"
"365","8","16","175","154","60.5920799692426","0","0"
"363","8","16","150","291","13.84083044982699","0","0"
"364","8","16","175","305","11.457131872356786","0","0"
"333","8","12","150","1500","36.13994617454825","20","0"
"369","8","16","200","186","52.979623221837755","0","0"
"370","8","16","225","120","46.78969627066513","0","0"
"371","8","16","225","125","45.09803921568628","0","0"
"373","8","16","250","81","42.21453287197232","0","0"
"372","8","16","225","196","59.976931949250286","0","0"
"375","8","16","250","82","38.71587850826605","0","0"
"374","8","16","250","112","44.82891195693964","0","0"
"378","8","18","150","91","48.05843906189927","0","0"
"382","8","18","200","67","46.32833525567089","0","0"
"367","8","16","200","424","17.454825067281813","0","0"
"383","8","18","200","98","47.98154555940023","0","0"
"384","8","18","200","79","44.05997693194925","0","0"
"385","8","18","225","118","50.36524413687044","0","0"
"387","8","18","225","94","44.86735870818916","0","0"
"379","8","18","175","314","11.034217608612073","0","0"
"377","8","18","150","387","16.41676278354479","0","0"
"390","8","18","250","84","41.09957708573626","0","0"
"389","8","18","250","136","46.943483275663205","0","0"
"392","8","20","150","90","46.71280276816609","0","0"
"386","8","18","225","375","16.186082276047674","0","0"
"366","8","16","175","825","26.105344098423682","0","0"
"388","8","18","250","408","15.455594002306805","0","0"
"395","8","20","175","117","57.554786620530564","0","0"
"396","8","20","175","102","51.67243367935409","0","0"
"391","8","20","150","345","13.302575932333717","0","0"
"348","8","14","150","1500","27.335640138408305","85","0"
"376","8","18","150","706","18.031526336024605","0","0"
"398","8","20","200","122","47.327950788158404","0","0"
"400","8","20","225","86","42.56055363321799","0","0"
"402","8","20","225","71","42.25297962322184","0","0"
"401","8","20","225","106","47.635524798154556","0","0"
"394","8","20","175","371","17.80084582852749","0","0"
"381","8","18","175","769","15.647827758554403","0","0"
"405","8","20","250","76","42.25297962322184","0","0"
"403","8","20","250","103","45.136485966935794","0","0"
"404","8","20","250","111","43.67550941945406","0","0"
"380","8","18","175","631","8.342945021145713","0","0"
"399","8","20","200","321","10.765090349865437","0","0"
"397","8","20","200","450","37.10111495578624","0","0"
"362","8","16","150","1500","34.0638216070742","68","0"
"393","8","20","150","869","16.41676278354479","0","0"
"417","10","4","225","584","45.17493271818531","0","0"
"409","10","4","175","1500","43.32948865820838","39","0"
"410","10","4","175","1500","64.43675509419454","45","0"
"406","10","4","150","1500","45.02114571318724","47","0"
"407","10","4","150","1500","58.938869665513266","34","0"
"418","10","4","250","200","68.89657823913879","0","0"
"408","10","4","150","1500","52.8642829680892","38","0"
"412","10","4","200","1500","31.141868512110726","36","0"
"411","10","4","175","1500","41.906958861976165","27","0"
"414","10","4","200","1500","38.33141099577086","28","0"
"415","10","4","225","1500","43.44482891195694","14","0"
"416","10","4","225","1500","53.44098423683199","15","0"
"413","10","4","200","1500","40.984236831987694","54","0"
"420","10","4","250","1038","79.54632833525567","0","0"
"430","10","6","225","467","24.644367550941947","0","0"
"419","10","4","250","1500","57.59323337178009","21","0"
"428","10","6","200","1156","39.561707035755475","0","0"
"423","10","6","150","1500","34.71741637831603","22","0"
"421","10","6","150","1500","53.24875048058439","19","0"
"422","10","6","150","1500","22.798923490965013","29","0"
"425","10","6","175","1500","56.40138408304498","32","0"
"424","10","6","175","1500","44.3675509419454","23","0"
"435","10","6","250","79","42.522106881968476","0","0"
"426","10","6","175","1500","87.35101883890812","6","0"
"427","10","6","200","1500","63.20645905420992","30","0"
"429","10","6","200","1500","31.833910034602077","10","0"
"437","10","8","150","406","70.66512879661668","0","0"
"441","10","8","175","395","37.985390234525184","0","0"
"434","10","6","250","639","36.024605920799694","0","0"
"444","10","8","200","70","48.904267589388695","0","0"
"445","10","8","225","146","55.2479815455594","0","0"
"431","10","6","225","1500","53.90234525182622","30","0"
"449","10","8","250","130","49.48096885813149","0","0"
"446","10","8","225","501","32.6797385620915","0","0"
"450","10","8","250","121","48.750480584390615","0","0"
"433","10","6","250","1494","14.917339484813533","0","0"
"448","10","8","250","580","37.985390234525184","0","0"
"454","10","10","175","156","66.20530565167243","0","0"
"439","10","8","175","1500","47.21261053440984","12","0"
"436","10","8","150","1500","31.218762014609766","16","0"
"438","10","8","150","1500","43.59861591695502","55","0"
"432","10","6","225","1500","55.82468281430219","14","0"
"440","10","8","175","1500","64.82122260668973","17","0"
"443","10","8","200","1500","35.90926566705114","60","0"
"442","10","8","200","1500","42.48366013071895","49","0"
"460","10","10","225","107","46.09765474817378","0","0"
"459","10","10","200","159","55.74778931180315","0","0"
"447","10","8","225","1392","46.78969627066513","0","0"
"456","10","10","175","425","33.833141099577084","0","0"
"465","10","10","250","154","54.940407535563246","0","0"
"461","10","10","225","427","19.530949634755864","0","0"
"463","10","10","250","446","14.686658977316418","0","0"
"466","10","12","150","294","18.108419838523645","0","0"
"452","10","10","150","1129","36.024605920799694","0","0"
"464","10","10","250","426","17.454825067281813","0","0"
"453","10","10","150","1500","46.21299500192234","45","0"
"451","10","10","150","1500","53.44098423683199","43","0"
"470","10","12","175","388","36.75509419454056","0","0"
"457","10","10","200","1085","38.523644752018456","0","0"
"473","10","12","200","142","49.596309111880046","0","0"
"475","10","12","225","124","51.86466743560169","0","0"
"477","10","12","225","68","47.789311803152636","0","0"
"478","10","12","250","79","38.71587850826605","0","0"
"472","10","12","200","412","26.835832372164553","0","0"
